700	2.55495591857294E-5
698	-3.64574208405397E-5
696	8.59438330165815E-6
694	-2.65632796250739E-5
692	2.48463524059605E-5
690	-9.28502184999815E-7
688	2.70903102652394E-5
686	-1.52838931040672E-5
684	1.05824584957249E-5
682	-1.98819976328791E-5
680	2.69480776458251E-5
678	-1.98751511306058E-5
676	2.0008621144048E-5
674	-1.04737529923203E-5
672	-6.05856674653867E-7
670	-2.17236341627464E-5
668	3.8194167631829E-6
666	-2.0579899091239E-5
664	1.842444708944E-5
662	-5.29712494966453E-6
660	4.20876489484667E-6
658	-1.49766367096964E-5
656	1.15899195120012E-7
654	-7.17208688806165E-6
652	-1.4506268361347E-5
650	-2.89312753640938E-6
648	-7.57226810252584E-6
646	1.34177013774806E-5
644	1.52111440050347E-5
642	4.36993492885708E-6
640	1.64303314656428E-5
638	2.40094359370657E-5
636	3.9040934281912E-5
634	7.45594460080846E-6
632	2.33187677717098E-5
630	-1.62951791892209E-5
628	6.93203137654736E-8
626	-2.71927245993032E-5
624	5.92851948950182E-6
622	-2.58289077871592E-5
620	-1.84965476210114E-5
618	-1.31294557360337E-5
616	-2.44641433703011E-5
614	-1.19010340745238E-5
612	-1.77356096792573E-5
610	-2.66614930355978E-5
608	-1.83203026869044E-5
606	1.7956940612373E-6
604	-3.93340077698219E-6
602	-1.44346707919055E-5
600	-1.32643194706382E-7
598	-9.33631324419238E-6
596	1.88981759925292E-6
594	-2.00878006508296E-5
592	-1.19825702278272E-5
590	1.57381612993065E-6
588	-1.83904420805158E-5
586	-1.91555294380981E-5
584	-1.71952924168717E-5
582	-4.00381383989129E-6
580	-1.14945998289049E-5
578	-2.89961648476805E-6
576	-1.68444456794549E-6
574	-1.46089749517607E-5
572	-1.67854371221794E-5
570	1.26010565021169E-5
568	1.69214468856893E-5
566	1.50271015984668E-5
564	2.41544213591266E-5
562	-8.12199928618561E-6
560	-5.06777613986883E-6
558	-7.81153232493881E-6
556	-2.45179295846668E-5
554	-2.12948396885246E-5
552	-7.7213869249106E-6
550	-8.93809471544991E-6
548	-2.59262030111371E-5
546	-9.39191486163471E-6
544	-3.110251620373E-5
542	-2.57861786928007E-5
540	-1.66390417346636E-5
538	-4.52292521607611E-6
536	5.12216347302426E-6
534	-7.83393223297146E-6
532	-2.7102880503574E-5
530	-3.07322237943452E-5
528	-1.86293222023405E-5
526	-1.19116632918749E-5
524	-3.06541658619656E-5
522	-1.61830986133323E-5
520	-4.15716189647257E-5
518	-3.481219283761E-5
516	-2.23335519633901E-5
514	-2.98832768881246E-5
512	-2.69036074814386E-5
510	-4.19987143667729E-5
508	-4.58201052980871E-5
506	-2.93035851863123E-5
504	-1.7466035514902E-5
502	-2.08330687252793E-5
500	-3.3043494815414E-5
498	-3.58192942587896E-5
496	-3.46468580566045E-5
494	-4.10187261518496E-5
492	-3.12794709130621E-5
490	-4.27988256440655E-5
488	-3.08993034388221E-5
486	-3.15385623540109E-5
484	-2.58933819565563E-5
482	-4.5749892513633E-5
480	-2.8133172737841E-5
478	-3.40099686736851E-5
476	-1.06622631243481E-5
474	-2.91593609406953E-5
472	-6.29489208339584E-6
470	-2.75249678816406E-5
468	-2.14772997702164E-5
466	-3.03277262038367E-5
464	-1.50987953506875E-5
462	-2.06429761812764E-5
460	-1.99386502609275E-5
458	-3.12389519594584E-5
456	-3.73287078089492E-5
454	-3.52290162004541E-5
452	-7.06057336048089E-6
450	-1.39119187239591E-5
448	-2.81453681920926E-5
446	-4.60057199577755E-5
444	-4.87767749818113E-5
442	-5.49481579215079E-5
440	-5.11316806854778E-5
438	-5.85264465420947E-5
436	-5.19829472592517E-5
434	-5.80949570956934E-5
432	-4.34194556649584E-5
430	-4.96373121976791E-5
428	-3.9260814903097E-5
426	-4.58617366034604E-5
424	-4.9045218855593E-5
422	-4.43440523774848E-5
420	-4.47638622031786E-5
418	-4.28387447321312E-5
416	-3.75015054825576E-5
414	-5.30661186117711E-5
412	-6.38799236215306E-5
410	-6.42404910145829E-5
408	-7.85348121426659E-5
406	-6.75545329204703E-5
404	-7.94641172416317E-5
402	-7.17546528511726E-5
400	-9.17895208349872E-5
398	-9.10412957050574E-5
396	-9.95410677340109E-5
394	-9.00490703075749E-5
392	-1.13644705498165E-4
390	-1.02493461644979E-4
388	-1.24161797184934E-4
386	-1.27143743340151E-4
384	-1.29865215585974E-4
382	-1.18188992187262E-4
380	-1.09942457537709E-4
378	-1.06884876413869E-4
376	-1.02573506468875E-4
374	-1.11070354927956E-4
372	-1.12356563342504E-4
370	-1.04148735030379E-4
368	-9.68239631992385E-5
366	-8.97964234378906E-5
364	-8.30432216741298E-5
362	-9.73576492316276E-5
360	-8.90695242734899E-5
358	-8.53593977577705E-5
356	-7.06216509110199E-5
354	-6.74368421148935E-5
352	-5.93648190153672E-5
350	-6.57225505057977E-5
348	-6.22293413737156E-5
346	-5.50541366949937E-5
344	-4.74483833592458E-5
342	-2.85952590865218E-5
340	-3.70674193156812E-5
338	-3.21165804208134E-5
336	-1.45628216546732E-5
334	-1.18461845903191E-5
332	3.55201633272598E-6
330	-7.90089911143135E-6
328	2.05950097204418E-5
326	3.48080050695093E-5
324	4.42748170370734E-5
322	4.71294145530518E-5
320	5.82720285981388E-5
318	4.69413313448461E-5
316	6.7340857884707E-5
314	8.3675915025964E-5
312	8.58274694586357E-5
310	7.89353799843017E-5
308	9.77313972303919E-5
306	9.27190670086116E-5
304	1.19896858706274E-4
302	1.14261916657359E-4
300	1.22405567142762E-4
298	1.48195111224311E-4
296	1.65023219365899E-4
294	1.72097868911967E-4
292	2.11860194213652E-4
290	2.18359625272032E-4
288	2.44324035206411E-4
286	2.3161774052815E-4
284	2.2276467097949E-4
282	2.75263874561626E-4
280	2.74883989083402E-4
278	2.85112224087068E-4
276	2.99610955174646E-4
274	3.10013650222584E-4
272	3.38544049899179E-4
270	3.33726194044148E-4
268	3.43847161003344E-4
266	3.42195912875455E-4
264	3.70755736403018E-4
262	3.86198292368772E-4
260	4.01961027461125E-4
258	3.78512552906363E-4
