Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
650	0.700380237679934	0.0030268326085261	1.14552831878695	0.00128833392105294	1.01528286933899	0.697353405071408	1.16172725504705	0.600272914353864	4.48005232730817E-4	99.8968961715131
647	0.711424532679749		1.1645012703713		1.01375162601471	0.708397700071223	1.17920900572778	0.600739730302531	4.46599360995679E-4	99.897219552205
644	0.719962111380986		1.17964404680005		1.0125560760498	0.71693527877246	1.19315123682362	0.600875443653787	4.55135038634496E-4	99.89525617915
641	0.739174952490739		1.21244531681058		1.01147246360779	0.736148119882212	1.22505193729905	0.600911763386332	4.59520919875175E-4	99.8942473555612
638	0.765871528311799		1.25743307603023		1.01019382476807	0.762844695703273	1.26894966149357	0.601162298909001	5.10376381723042E-4	99.8825505211157
635	0.800674686742068		1.31591349083562		1.00853979587555	0.797647854133542	1.32585178740748	0.601611629376186	5.72652855834296E-4	99.868228701788
632	0.83289408297563		1.36985097658201		1.00657165050507	0.829867250367104	1.37755635804281	0.602419817905782	5.21985583410556E-4	99.879880578889
629	0.862805071015292		1.42033317669768		1.00450956821442	0.859778238406766	1.42544412229444	0.60316516442808	5.65204292129942E-4	99.8699415516482
626	0.895585360190949		1.47527850667832		1.0021505355835	0.892558527582423	1.47716004107351	0.604239556151118	5.35910392511386E-4	99.8766781758388
623	0.927764395706899		1.52932551268795		0.999712884426117	0.924737563098373	1.5275984554954	0.605353821726982	5.52655602240531E-4	99.8728272780021
620	0.953440291600397		1.57248102826257		0.997710049152374	0.950413458991871	1.56759474029933	0.606287731490085	5.71893222101489E-4	99.8684033835877
617	0.973623883438693		1.60680796782268		0.997047364711761	0.970597050830166	1.60077911997461	0.60632790540494	5.89223289296479E-4	99.8644183188851
614	0.991401017156721		1.6371151637465		0.997688949108124	0.988374184548195	1.63204635077142	0.605604236718534	5.94658545520682E-4	99.8631685095338
611	1.00901126366839		1.66709933476926		0.998759865760803	1.00598443105986	1.66374517159003	0.604650548796753	5.79970913865358E-4	99.8665458912387
608	1.03028259903261		1.70313658926394		0.998934507369995	1.02725576642408	1.70003494856943	0.604255675619205	5.75548472472177E-4	99.8675628422097
605	1.05738140629737		1.74878497775341		0.997636795043945	1.05435457368885	1.74336695110296	0.604780636125857	5.91665391700316E-4	99.8638567680008
602	1.08940432792235		1.80215337902942		0.995446860790253	1.08637749531382	1.79266545586002	0.606012400006133	6.03282014517053E-4	99.8611856190673
599	1.12443441445229		1.86016721241577		0.99359917640686	1.12140758184377	1.84698052271246	0.607157232062674	6.02957357621498E-4	99.8612602703373
596	1.16578513999507		1.92870734336748		0.992646038532257	1.16275830738655	1.91324484431877	0.607741508275466	6.39604544686479E-4	99.8528340065082
593	1.20868374455999		1.99980363824941		0.992473423480988	1.20565691195146	1.98347332596592	0.607851336424868	6.65688923696167E-4	99.8468368753922
590	1.2479194841493		2.06482585905893		0.992487251758575	1.24489265154078	2.04803468722479	0.607847444824131	7.04294245098176E-4	99.8379616810903
587	1.28375961889379		2.12413741704948		0.992204189300537	1.28073278628526	2.10629975353282	0.608048680695676	7.3664075049564E-4	99.8305259685961
584	1.31448586449855		2.17495818955148		0.991529524326324	1.31145903189002	2.15525783799571	0.608492872068439	7.57097769472404E-4	99.8258236595609
581	1.34408081066936		2.22398188564466		0.990617990493774	1.34105397806083	2.20184021969191	0.609060533124642	7.76221466553496E-4	99.8214280320283
578	1.37404283264436		2.27349591987064		0.989726066589355	1.37101600003584	2.24886307651638	0.609648499436267	8.05094222006402E-4	99.8147919268088
575	1.4084799955927		2.33039160445775		0.988880574703217	1.40545316298417	2.30320498071147	0.610216274606188	8.32098046898172E-4	99.8085857752703
572	1.44047851597265		2.38299332788037		0.98817640542984	1.43745168336412	2.35354467972502	0.610760312199414	8.23048280901113E-4	99.8106655939056
569	1.47195047934787		2.43480474490967		0.987751841545105	1.46892364673934	2.40371031638424	0.611106769699668	8.96597090278847E-4	99.7937638501479
566	1.50531810860907		2.4894743845838		0.987836420536041	1.50229127600054	2.4579208019144	0.611204101788168	9.19342326301211E-4	99.7885375040414
563	1.54267873284943		2.55081905352813		0.988370537757874	1.53965190024091	2.51988104836827	0.611001817422253	9.34588590718195E-4	99.7850344069788
